Timestamp,Longitude,Latitude,Operatorname,Node,CellID,LAC,NetworkTech,Level,Qual,SNR,CQI,LTERSSI,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,SourceFile
2025.07.18_22.13.17,-17.436055,14.665377,expresso,2,10222,3000,3G,-61,-5.0,,,,90,81,99,8.0,0.0,17835.0,3151.0,24108.0,3376.0,expresso_log_datatest.txt
2025.07.18_22.15.36,-17.435408,14.665243,expresso,2,10222,3000,3G,-65,-4.0,,,,100,92,108,6.0,0.0,19477.0,3101.0,28071.0,3811.0,expresso_log_datatest.txt
2025.07.18_22.17.53,-17.434829,14.664653,expresso,2,10222,3000,3G,-71,-7.0,,,,105,92,119,9.0,0.0,15080.0,1712.0,20325.0,2076.0,expresso_log_datatest.txt
2025.07.18_22.20.11,-17.434717,14.663228,expresso,2,10222,3000,3G,-59,-4.0,,,,99,94,109,5.0,0.0,15646.0,3128.0,19354.0,3478.0,expresso_log_datatest.txt
2025.07.18_22.22.28,-17.434793,14.662514,expresso,2,10171,3000,3G,-69,-9.0,,,,106,96,115,7.0,0.0,5162.0,2096.0,7732.0,2622.0,expresso_log_datatest.txt
2025.07.18_22.25.04,-17.435795,14.662065,expresso,1022,5,4112,4G,-91,-9.0,8.0,,-63.0,114,111,119,4.0,92.0,16187.0,0.0,21008.0,0.0,expresso_log_datatest.txt
2025.07.18_22.27.19,-17.436028,14.660583,expresso,1207,1,4112,4G,-93,-11.0,2.0,,-65.0,10182,3556,13218,5701.0,,,,,,expresso_log_datatest.txt
2025.07.18_22.29.35,-17.43645,14.659501,1207,4,4112,4G,-95,-10,7.0,,-67.0,0.0,0,0,0,,,,,,,expresso_log_datatest.txt
2025.07.18_22.31.50,-17.437981,14.659535,1171,5,4112,4G,-91,-9,6.0,,-63.0,0.0,0,0,0,,,,,,,expresso_log_datatest.txt
2025.07.18_22.34.06,-17.439456,14.660018,expresso,1171,5,4112,4G,-73,-9.0,9.0,,-51.0,19502,0,24076,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_22.36.22,-17.438914,14.660898,expresso,1171,5,4112,4G,-71,-7.0,16.0,,-51.0,26,0,130,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_22.38.40,-17.438995,14.661355,1171,5,4112,4G,-62,-10,9.0,,-51.0,98.0,84,138,20,0.0,0.0,0.0,0.0,0.0,,expresso_log_datatest.txt
2025.07.18_22.40.58,-17.439647,14.662041,expresso,1171,4,4112,4G,-78,-10.0,6.0,,-51.0,171,69,511,171.0,0.0,25584.0,8120.0,38254.0,10104.0,expresso_log_datatest.txt
2025.07.18_22.43.16,-17.439567,14.663352,expresso,1171,4,4112,4G,-70,-7.0,22.0,,-51.0,179,85,528,175.0,16.0,65917.0,9505.0,79863.0,10124.0,expresso_log_datatest.txt
2025.07.18_22.45.34,-17.438136,14.663067,expresso,1171,4,4112,4G,-90,-10.0,5.0,,-61.0,135,90,298,82.0,0.0,8318.0,6462.0,8736.0,8279.0,expresso_log_datatest.txt
2025.07.18_22.47.54,-17.437676,14.66362,expresso,1022,2,4112,4G,-88,-16.0,1.0,,-55.0,94,65,136,30.0,44.0,10967.0,5915.0,16915.0,8696.0,expresso_log_datatest.txt
2025.07.18_22.50.12,-17.438096,14.664778,expresso,2,10229,3000,3G,-79,-3.0,,,,100,89,125,13.0,0.0,8.0,15.0,,,expresso_log_datatest.txt
2025.07.18_22.51.47,-17.438387,14.665588,expresso,2,10226,3000,3G,-83,-6.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_22.54.03,-17.438287,14.66604,expresso,2,10385,3000,3G,-75,-7.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_22.56.19,-17.437393,14.666333,expresso,2,10223,3000,3G,-81,-7.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_22.58.36,-17.437014,14.666316,expresso,2,10682,3000,3G,-75,-4.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.00.51,-17.437014,14.666316,expresso,2,10682,3000,3G,-81,-7.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.03.09,-17.436042,14.666334,expresso,1022,4,4112,4G,-91,-11.0,7.0,,-61.0,29138,0,41559,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.05.27,-17.435236,14.666482,expresso,1022,4,4112,4G,-84,-10.0,14.0,,-57.0,156,150,159,3.0,0.0,57257.0,4237.0,72152.0,7108.0,expresso_log_datatest.txt
2025.07.18_23.07.43,-17.433782,14.666546,expresso,1022,4,4112,4G,-94,-9.0,9.0,,-67.0,50041,2617,55512,4909.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.10.13,-17.432589,14.667353,expresso,1033,6,4112,4G,-73,-9.0,12.0,,-51.0,118,75,189,48.0,82.0,14380.0,6674.0,17208.0,7763.0,expresso_log_datatest.txt
2025.07.18_23.12.29,-17.432293,14.668114,1033,6,4112,4G,-74,-7,17.0,,-51.0,0.0,0,0,0,,,,,,,expresso_log_datatest.txt
2025.07.18_23.14.46,-17.431645,14.668479,expresso,2,10332,3000,3G,-59,-5.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.17.02,-17.431192,14.668581,expresso,2,10332,3000,3G,-75,-4.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.19.18,-17.431192,14.668581,expresso,2,10332,3000,3G,-79,-4.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.21.33,-17.431012,14.668652,expresso,2,10338,3000,3G,-65,-3.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.23.48,-17.429886,14.668696,expresso,2,10338,3000,3G,-75,-3.0,,,,0,0,0,0.0,,,,,,expresso_log_datatest.txt
2025.07.18_23.26.05,-17.429107,14.669293,1033,5,4112,4G,-99,-11,4.0,,-69.0,0.0,0,0,0,,,,,,,expresso_log_datatest.txt
2025.07.18_23.28.24,-17.428171,14.669758,expresso,2,10622,3000,3G,-79,-3.0,,,,105,93,119,10.0,0.0,0.0,9.0,0.0,20.0,expresso_log_datatest.txt
2025.07.18_23.30.43,-17.427125,14.670106,expresso,2,40623,3000,3G,-51,-6.0,,,,101,93,109,7.0,0.0,11916.0,2315.0,13261.0,3398.0,expresso_log_datatest.txt
2025.07.18_23.33.01,-17.426697,14.670898,expresso,2,10625,3000,3G,-55,-4.0,,,,98,91,106,5.0,0.0,19226.0,2860.0,24480.0,3772.0,expresso_log_datatest.txt
2025.07.18_23.34.38,-17.426599,14.671456,expresso,2,10624,3000,3G,-63,-6.0,,,,101,90,108,8.0,0.0,13773.0,1682.0,17571.0,1938.0,expresso_log_datatest.txt
2025.07.18_23.36.56,-17.427034,14.672226,expresso,2,10624,3000,3G,-63,-4.0,,,,106,90,116,9.0,0.0,10356.0,1661.0,13992.0,2322.0,expresso_log_datatest.txt
2025.07.18_23.39.14,-17.427523,14.672286,expresso,2,10623,3000,3G,-51,-3.0,,,,99,90,113,8.0,0.0,1.0,298.0,1.0,1086.0,expresso_log_datatest.txt
2025.07.18_23.41.31,-17.428978,14.672596,expresso,2,10621,3000,3G,-79,-8.0,,,,106,94,116,9.0,0.0,9899.0,1686.0,11779.0,2202.0,expresso_log_datatest.txt
2025.07.18_23.43.08,-17.429915,14.672791,expresso,1033,4,4112,4G,-77,-9.0,12.0,,-51.0,80,78,87,3.0,0.0,9338.0,4360.0,11160.0,5363.0,expresso_log_datatest.txt
