Timestamp	Longitude	Latitude	Operatorname	Operator	Cellname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	ARFCN	PSC	Altitude	Distance	TA	BAND
2025.07.18_22.12.21	-17.436158	14.665392	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	67	-1		U1	
2025.07.18_22.12.21	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.27	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-71	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.29	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.40	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.48	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.49	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.50	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.51	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.52	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.52	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.53	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.54	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.54	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.55	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.56	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.57	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.58	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.59	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-73	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.00	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-73	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.01	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-73	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.02	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-73	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.03	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.04	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.04	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.05	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-73	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.06	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-73	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.07	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.07	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.08	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-65	-2	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.09	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.10	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.11	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.12	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.13	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-63	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.14	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-63	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.15	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-67	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.16	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-67	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.17	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.13.17	-17.436055	14.665377	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.13.17	-17.436055	14.665377	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.13.17	-17.436055	14.665377	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.13.20	-17.436055	14.665377	expresso	60803		2	10222	3000	3G	-65	-6	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.13.29	-17.435962	14.66535	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	65	-1		U1	
2025.07.18_22.13.30	-17.435962	14.66535	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	65	-1		U1	
2025.07.18_22.13.40	-17.435962	14.66535	expresso	60803		2	10222	3000	3G	-63	-4	-	-	-	10637	145	65	-1		U1	
2025.07.18_22.13.45	-17.435869	14.665326	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	68	-1		U1	
2025.07.18_22.13.50	-17.435869	14.665326	expresso	60803		2	10222	3000	3G	-61	-4	-	-	-	10637	145	68	-1		U1	
2025.07.18_22.13.50	-17.435869	14.665326	expresso	60803		2	10222	3000	3G	-61	-4	-	-	-	10637	145	68	-1		U1	
2025.07.18_22.14.00	-17.435869	14.665326	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	68	-1		U1	
2025.07.18_22.14.01	-17.435779	14.665301	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.14.10	-17.435779	14.665301	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.14.20	-17.435779	14.665301	expresso	60803		2	10222	3000	3G	-67	-3	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.14.30	-17.435779	14.665301	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.14.35	-17.435695	14.665253	expresso	60803		2	10222	3000	3G	-53	-3	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.14.35	-17.435695	14.665253	expresso	60803		2	10222	3000	3G	-53	-3	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.14.40	-17.435695	14.665253	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.14.50	-17.435695	14.665253	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.14.51	-17.435598	14.665255	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.15.00	-17.435598	14.665255	expresso	60803		2	10222	3000	3G	-57	-2	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.15.03	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.08	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-5	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.08	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-61	-5	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.09	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-61	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.10	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-61	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.10	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.10	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.11	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.12	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-59	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.13	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-59	-6	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.13	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-59	-5	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.15	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-67	-5	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.16	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-67	-4	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.16	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.18	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.19	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.20	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.21	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.21	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.22	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.23	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.24	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.25	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.25	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.26	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.26	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-69	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.27	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-69	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.28	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-67	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.30	-17.435501	14.665263	expresso	60803		2	10222	3000	3G	-67	-3	-	-	-	10637	145	59	-1		U1	
2025.07.18_22.15.30	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-67	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.31	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.32	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.33	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.34	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.35	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.36	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.36	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.36	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-65	-4	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.41	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-59	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.51	-17.435408	14.665243	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	52	-1		U1	
2025.07.18_22.15.56	-17.43532	14.665209	expresso	60803		2	10222	3000	3G	-67	-3	-	-	-	10637	145	53	-1		U1	
2025.07.18_22.16.01	-17.43532	14.665209	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	53	-1		U1	
2025.07.18_22.16.08	-17.43532	14.665209	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	53	-1		U1	
2025.07.18_22.16.11	-17.43532	14.665209	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	53	-1		U1	
2025.07.18_22.16.15	-17.435227	14.665197	expresso	60803		2	10222	3000	3G	-61	-2	-	-	-	10637	145	53	-1		U1	
2025.07.18_22.16.21	-17.435227	14.665197	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	53	-1		U1	
2025.07.18_22.16.30	-17.43514	14.665154	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	56	-1		U1	
2025.07.18_22.16.31	-17.43514	14.665154	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	56	-1		U1	
2025.07.18_22.16.38	-17.435041	14.665126	expresso	60803		2	10222	3000	3G	-67	-	-	-	-	10637	145	58	-1		U1	
2025.07.18_22.16.41	-17.435041	14.665126	expresso	60803		2	10222	3000	3G	-67	-	-	-	-	10637	145	58	-1		U1	
2025.07.18_22.16.51	-17.435041	14.665126	expresso	60803		2	10222	3000	3G	-67	-	-	-	-	10637	145	58	-1		U1	
2025.07.18_22.16.53	-17.435041	14.665126	expresso	60803		2	10222	3000	3G	-69	-	-	-	-	10637	145	58	-1		U1	
2025.07.18_22.16.53	-17.43494	14.665093	expresso	60803		2	10222	3000	3G	-69	-	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.17.01	-17.434863	14.665034	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.17.01	-17.434863	14.665034	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.17.11	-17.434863	14.665034	expresso	60803		2	10222	3000	3G	-73	-3	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.17.12	-17.43486	14.664934	expresso	60803		2	10222	3000	3G	-73	-3	-	-	-	10637	145	58	-1		U1	
2025.07.18_22.17.20	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.21	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.26	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.26	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.27	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.28	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-71	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.28	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-71	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.28	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-73	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.29	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-73	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.30	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-73	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.30	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-77	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.31	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-77	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.32	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.33	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.34	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.35	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.36	-17.43487	14.664841	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.37	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.37	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.38	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-73	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.39	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-73	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.40	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-73	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.40	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.41	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.42	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.43	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.43	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-75	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.44	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.45	-17.434852	14.664747	expresso	60803		2	10222	3000	3G	-71	-4	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.46	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-71	-4	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.46	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-67	-4	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.47	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-67	-4	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.48	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-69	-5	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.49	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-69	-5	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.50	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-71	-6	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.51	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-71	-6	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.52	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-71	-7	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.53	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-71	-7	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.17.53	-17.434829	14.664653	expresso	60803		2	10222	3000	3G	-71	-7	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.18.01	-17.434822	14.66456	expresso	60803		2	10222	3000	3G	-69	-4	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.18.01	-17.434822	14.66456	expresso	60803		2	10222	3000	3G	-69	-4	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.18.08	-17.43481	14.664465	expresso	60803		2	10222	3000	3G	-73	-3	-	-	-	10637	145	63	-1		U1	
2025.07.18_22.18.11	-17.43481	14.664465	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	63	-1		U1	
2025.07.18_22.18.16	-17.434815	14.664362	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.18.22	-17.434815	14.664362	expresso	60803		2	10222	3000	3G	-63	-3	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.18.25	-17.434815	14.664262	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.18.25	-17.434815	14.664262	expresso	60803		2	10222	3000	3G	-65	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.18.32	-17.434815	14.664262	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.18.33	-17.434814	14.664169	expresso	60803		2	10222	3000	3G	-61	-3	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.18.41	-17.434806	14.664074	expresso	60803		2	10222	3000	3G	-65	-2	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.18.42	-17.434806	14.664074	expresso	60803		2	10222	3000	3G	-59	-2	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.18.52	-17.434806	14.664074	expresso	60803		2	10222	3000	3G	-57	-2	-	-	-	10637	145	60	-1		U1	
2025.07.18_22.18.54	-17.434811	14.663978	expresso	60803		2	10222	3000	3G	-59	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.02	-17.434811	14.663978	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.04	-17.43479	14.663881	expresso	60803		2	10222	3000	3G	-51	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.10	-17.43479	14.663881	expresso	60803		2	10222	3000	3G	-51	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.12	-17.43479	14.663881	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.13	-17.434776	14.663789	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.19.22	-17.434776	14.663789	expresso	60803		2	10222	3000	3G	-53	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.19.23	-17.434771	14.663698	expresso	60803		2	10222	3000	3G	-53	-2	-	-	-	10637	145	61	-1		U1	
2025.07.18_22.19.32	-17.43476	14.663604	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.32	-17.43476	14.663604	expresso	60803		2	10222	3000	3G	-53	-2	-	-	-	10637	145	62	-1		U1	
2025.07.18_22.19.42	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-61	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.42	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.43	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-63	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.44	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.45	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.45	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.46	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.46	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.47	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.48	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-67	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.48	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-69	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.49	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-69	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.50	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.51	-17.434754	14.663512	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.52	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.52	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-51	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.53	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-51	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.54	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.55	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.56	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.57	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.58	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.58	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.19.59	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-55	-2	-	-	-	10637	145	64	-1		U1	
2025.07.18_22.20.00	-17.434738	14.663414	expresso	60803		2	10222	3000	3G	-59	-2	-	-	-	10637	145	64	-1		U1	
