Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.54.27	-17.43779	14.666288	Yas	1032	11	701	4G	-100	-9	0.0	-	-89	IRAT_CELL_RESELECTION_3G4G	608-02-43-5-16482-3060-499:608-02-701-1032-11-6400-450	I
2025.07.18_22.54.31	-17.43779	14.666288	Yas	1648	1	701	4G	-108	-18	0.0	-	-91	CELL_RESELECTION_4G4G	608-02-701-1032-11-6400-450:608-02-701-1648-1-1850-25	I
2025.07.18_22.54.33	-17.43779	14.666288	Yas	1648	1	701	4G	-113	-17	0.0	-	-97		START PING	D
2025.07.18_22.54.33	-17.43779	14.666288	Yas	1648	2	701	4G	-103	-8	0.0	-	-97	HANDOVER_DATA_4G4G	608-02-701-1648-1-1850-25:608-02-701-1648-2-1850-33	I
2025.07.18_22.54.55	-17.437617	14.666335	Yas	1648	2	701	4G	-101	-8	0.0	-	-89		START UPLOAD	D
2025.07.18_22.55.08	-17.437433	14.666355	Yas	1648	2	701	4G	-100	-10	0.0	-	-93		START DOWNLOAD	D
2025.07.18_22.55.18	-17.437327	14.66636	Yas	1032	1	701	4G	-106	-11	0.0	-	-95	HANDOVER_DATA_4G4G	608-02-701-1648-2-1850-33:608-02-701-1032-1-1850-132	D
2025.07.18_22.55.28	-17.437232	14.666355	Yas	1059	1	701	4G	-98	-12	0.0	-	-87	HANDOVER_DATA_4G4G	608-02-701-1032-1-1850-132:608-02-701-1059-1-1850-459	I
2025.07.18_22.55.50	-17.437038	14.666343	Yas	1059	1	701	4G	-103	-12	0.0	-	-91	CALL_START	608-02-701-1059-1 VOICE SEQUENCE:20	I
2025.07.18_22.55.58	-17.437038	14.666343	Yas	5	10321	43	3G	-91	-12	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1059-1-1850-459:608-02-43-5-10321-3060-360	V
2025.07.18_22.55.58	-17.437038	14.666343	Yas	5	10321	43	3G	-91	-12	-	-	-	CSFB_4G3G	7692	V
2025.07.18_22.56.07	-17.437038	14.666343	Yas	5	10593	43	3G	-81	-10	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10321-3060-360:608-02-43-5-10593-3060-429	V
2025.07.18_22.56.23	-17.436947	14.666363	Yas	5	16482	43	3G	-75	-4	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10593-3060-429:608-02-43-5-16482-3060-499	V
2025.07.18_22.56.35	-17.437027	14.666317	Yas	5	16482	43	3G	-83	-8	-	-	-	CALL_END	608-02-43-5-16482 VOICE SEQUENCE:20	V
2025.07.18_22.56.37	-17.437027	14.666317	Yas	5	10321	43	3G	-85	-12	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-16482-3060-499:608-02-43-5-10321-3060-360	V
2025.07.18_22.56.53	-17.437027	14.666317	Yas	5	10593	43	3G	-85	-11	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10321-3060-360:608-02-43-5-10593-3060-429	V
2025.07.18_22.56.58	-17.437027	14.666317	Yas	5	10593	43	3G	-85	-11	-	-	-	CALL_END	608-02-43-5-10593	I
2025.07.18_22.56.59	-17.437027	14.666317	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_3G2G	608-02-43-5-10593-3060-429:608-02-0--0-0-0	I
2025.07.18_22.57.01	-17.437027	14.666317	Yas	1634	12	701	4G	-83	-11	0.0	-	-73	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1634-12-6400-244	I
2025.07.18_22.57.03	-17.437027	14.666317	Yas	1634	42	701	4G	-93	-10	0.0	-	-83	CELL_RESELECTION_4G4G	608-02-701-1634-12-6400-244:608-02-701-1634-42-500-363	I
2025.07.18_22.57.08	-17.437027	14.666317	Yas	1634	42	701	4G	-91	-10	0.0	-	-81		START PING	I
2025.07.18_22.57.12	-17.437087	14.666393	Yas	1634	42	701	4G	-100	-8	0.0	-	-91		START UPLOAD	D
2025.07.18_22.57.25	-17.437087	14.666393	Yas	1634	42	701	4G	-101	-7	0.0	-	-91		START DOWNLOAD	D
2025.07.18_22.58.07	-17.437087	14.666393	Yas	1634	42	701	4G	-105	-12	0.0	-	-95	CALL_START	608-02-701-1634-42 VOICE SEQUENCE:21	I
2025.07.18_22.58.09	-17.437087	14.666393	Yas	0	0	0	3G	-113	-11	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1634-42-500-363:608-02-0-0-0-0-0	VD
2025.07.18_22.58.09	-17.437087	14.666393	Yas	0	0	0	3G	-113	-11	-	-	-	CSFB_4G3G	1808	VD
2025.07.18_22.58.15	-17.436993	14.666393	Yas	5	16341	43	2G	-85	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-16341-3060-318	VD
2025.07.18_22.58.39	-17.436993	14.666393	Yas	5	10529	43	3G	-85	-15	-	-	-	IRAT_HANDOVER_VOICE_2G3G	608-02-43-5-16341-3060-318:608-02-43-5-10529-10563-380	V
2025.07.18_22.58.52	-17.436993	14.666393	Yas	5	10529	43	3G	-85	-15	-	-	-	CALL_END	608-02-43-5-10529 VOICE SEQUENCE:21	V
2025.07.18_22.59.26	-17.436993	14.666393	Yas	5	10529	43	3G	-85	-12	-	-	-		START PING	VD
2025.07.18_22.59.31	-17.436993	14.666393	Yas	5	10529	43	3G	-81	-10	-	-	-		START UPLOAD	VD
2025.07.18_22.59.44	-17.436993	14.666393	Yas	5	10529	43	3G	-89	-15	-	-	-		START DOWNLOAD	VD
2025.07.18_22.59.52	-17.436993	14.666393	Yas	5	10529	43	3G	-89	-15	-	-	-	CALL_END	608-02-43-5-10529	I
2025.07.18_22.59.57	-17.436993	14.666393	Yas	1634	42	701	4G	-119	-11	0.0	-	-109	IRAT_CELL_RESELECTION_3G4G	608-02-43-5-10529-10563-380:608-02-701-1634-42-500-363	I
2025.07.18_22.59.59	-17.436898	14.666353	Yas	1052	2	701	4G	-100	-8	0.0	-	-93	CELL_RESELECTION_4G4G	608-02-701-1634-42-500-363:608-02-701-1052-2-1850-159	I
2025.07.18_23.00.26	-17.436705	14.666315	Yas	1052	2	701	4G	-91	-8	0.0	-	-83	CALL_START	608-02-701-1052-2 VOICE SEQUENCE:22	I
2025.07.18_23.00.30	-17.436615	14.666277	Yas	0	0	0	3G	-113	-15	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1052-2-1850-159:608-02-0-0-0-0-0	V
2025.07.18_23.00.30	-17.436615	14.666277	Yas	0	0	0	3G	-113	-15	-	-	-	CSFB_4G3G	3453	V
2025.07.18_23.00.38	-17.436615	14.666277	Yas	5	16482	43	2G	-91	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-16482-3060-499	VD
2025.07.18_23.01.11	-17.436448	14.666418	Yas	5	16482	43	3G	-91	-7	-	-	-	CALL_END	608-02-43-5-16482 VOICE SEQUENCE:22	V
2025.07.18_23.01.41	-17.436038	14.66619	Yas	5	16482	43	3G	-99	-19	-	-	-	CALL_END	608-02-43-5-16482	I
2025.07.18_23.01.44	-17.436038	14.66619	Yas	5	16482	43	3G	-99	-19	-	-	-		START PING	D
2025.07.18_23.01.49	-17.435992	14.666273	Yas	5	16482	43	3G	-99	-19	-	-	-		START UPLOAD	I
2025.07.18_23.01.50	-17.435992	14.666273	Yas	1059	11	701	4G	-102	-11	0.0	-	-91	IRAT_CELL_RESELECTION_2G4G	608-02-43-5-16482-3060-499:608-02-701-1059-11-6400-104	I
2025.07.18_23.02.02	-17.435943	14.666353	Yas	1059	11	701	4G	-101	-12	0.0	-	-91		START DOWNLOAD	I
2025.07.18_23.02.17	-17.43587	14.666412	Yas	1052	2	701	4G	-98	-10	0.0	-	-89	CELL_RESELECTION_4G4G	608-02-701-1059-11-6400-104:608-02-701-1052-2-1850-159	I
2025.07.18_23.02.24	-17.43587	14.666412	Yas	1059	1	701	4G	-101	-9	0.0	-	-93	CELL_RESELECTION_4G4G	608-02-701-1052-2-1850-159:608-02-701-1059-1-1850-459	I
2025.07.18_23.02.44	-17.435675	14.666445	Yas	1059	1	701	4G	-104	-17	0.0	-	-85	CALL_START	608-02-701-1059-1 VOICE SEQUENCE:23	I
2025.07.18_23.02.44	-17.435675	14.666445	Yas	0	0	0	4G	-104	-17	0.0	-	-87	HANDOVER_VOICE_4G4G	608-02-701-1059-1-1850-459:608-02-0-0-0-0-0	V
2025.07.18_23.02.51	-17.435675	14.666445	Yas	5	10522	43	2G	-89	-	-	-	-	IRAT_HANDOVER_VOICE_4G2G	608-02-0-0-0-0-0:608-02-43-5-10522-3060-392	V
2025.07.18_23.02.51	-17.435675	14.666445	Yas	5	10522	43	2G	-89	-	-	-	-	CSFB_4G2G	7665	V
2025.07.18_23.03.29	-17.43539	14.66641	Yas	5	10522	43	3G	-81	-4	-	-	-	CALL_END	608-02-43-5-10522 VOICE SEQUENCE:23	V
2025.07.18_23.03.55	-17.43539	14.66641	Yas	5	10522	43	3G	-77	-3	-	-	-	CALL_END	608-02-43-5-10522	I
2025.07.18_23.03.57	-17.43539	14.66641	Yas	1052	2	701	4G	-104	-7	0.0	-	-95	IRAT_CELL_RESELECTION_2G4G	608-02-43-5-10522-3060-392:608-02-701-1052-2-1850-159	I
2025.07.18_23.04.02	-17.435285	14.666412	Yas	1052	2	701	4G	-105	-9	0.0	-	-97		START PING	I
2025.07.18_23.04.07	-17.435285	14.666412	Yas	1052	2	701	4G	-107	-9	0.0	-	-97		START UPLOAD	D
2025.07.18_23.04.20	-17.435195	14.666463	Yas	1052	2	701	4G	-107	-12	0.0	-	-91		START DOWNLOAD	D
2025.07.18_23.04.30	-17.435088	14.666502	Yas	1059	1	701	4G	-97	-12	0.0	-	-85	CELL_RESELECTION_4G4G	608-02-701-1052-2-1850-159:608-02-701-1059-1-1850-459	I
2025.07.18_23.05.00	-17.43471	14.666502	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1059-1-1850-459:608-02-0--0-0-0	D
2025.07.18_23.05.02	-17.43471	14.666502	Yas		0	0	2G	-113	-	-	-	-	CALL_START	608-02-0--0 VOICE SEQUENCE:24	I
2025.07.18_23.05.02	-17.43471	14.666502	Yas	1059	1	701	4G	-115	-12	0.0	-	-95	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1059-1-1850-459	I
2025.07.18_23.05.09	-17.43461	14.666512	Yas	5	16482	43	3G	-105	-16	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1059-1-1850-459:608-02-43-5-16482-3060-499	VD
2025.07.18_23.05.09	-17.43461	14.666512	Yas	5	16482	43	3G	-105	-16	-	-	-	CSFB_4G3G	7073	VD
2025.07.18_23.05.14	-17.434508	14.666533	Yas	5	10593	43	3G	-109	-20	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-16482-3060-499:608-02-43-5-10593-3060-429	VD
2025.07.18_23.05.39	-17.434315	14.666512	Yas	5	10522	43	3G	-101	-11	-	-	-	HANDOVER_VOICE_3G3G	608-02-43-5-10593-3060-429:608-02-43-5-10522-3060-392	V
2025.07.18_23.05.47	-17.434213	14.666493	Yas	5	10522	43	3G	-95	-11	-	-	-	CALL_END	608-02-43-5-10522 VOICE SEQUENCE:24	VD
2025.07.18_23.06.13	-17.433847	14.666605	Yas	5	10522	43	3G	-97	-12	-	-	-	CALL_END	608-02-43-5-10522	I
2025.07.18_23.06.14	-17.433847	14.666605	Yas	0	0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_3G2G	608-02-43-5-10522-3060-392:608-02-0-0-0-0-0	I
2025.07.18_23.06.16	-17.433847	14.666605	Yas	1059	11	701	4G	-106	-13	0.0	-	-91	IRAT_HANDOVER_DATA_2G4G	608-02-0-0-0-0-0:608-02-701-1059-11-6400-104	D
2025.07.18_23.06.20	-17.433802	14.666685	Yas	1059	11	701	4G	-102	-11	0.0	-	-93		START PING	D
2025.07.18_23.06.24	-17.433802	14.666685	Yas	1059	11	701	4G	-103	-9	0.0	-	-95		START UPLOAD	D
2025.07.18_23.06.37	-17.433625	14.66665	Yas	1059	11	701	4G	-104	-12	0.0	-	-93		START DOWNLOAD	D
2025.07.18_23.07.04	-17.433315	14.666597	Yas	1154	42	701	4G	-110	-10	0.0	-	-101	CELL_RESELECTION_4G4G	608-02-701-1059-11-6400-104:608-02-701-1154-42-500-472	I
2025.07.18_23.07.19	-17.433137	14.666618	Yas	1154	42	701	4G	-108	-9	0.0	-	-99	CALL_START	608-02-701-1154-42 VOICE SEQUENCE:25	I
2025.07.18_23.07.20	-17.433137	14.666618	Yas	0	0	0	4G	-108	-9	0.0	-	-99	HANDOVER_VOICE_4G4G	608-02-701-1154-42-500-472:608-02-0-0-0-0-0	VD
2025.07.18_23.07.27	-17.43305	14.666665	Yas	5	11542	43	2G	-99	-	-	-	-	IRAT_HANDOVER_VOICE_4G2G	608-02-0-0-0-0-0:608-02-43-5-11542-3060-346	V
2025.07.18_23.07.27	-17.43305	14.666665	Yas	5	11542	43	2G	-99	-	-	-	-	CSFB_4G2G	8253	V
2025.07.18_23.08.04	-17.432833	14.666842	Yas	5	11542	43	3G	-101	-18	-	-	-	CALL_END	608-02-43-5-11542 VOICE SEQUENCE:25	V
2025.07.18_23.08.34	-17.43258	14.667127	Yas	5	11542	43	3G	-95	-15	-	-	-	CALL_END	608-02-43-5-11542	I
2025.07.18_23.08.36	-17.43258	14.667127	Yas	1009	12	701	4G	-77	-12	0.0	-	-65	IRAT_CELL_RESELECTION_2G4G	608-02-43-5-11542-3060-346:608-02-701-1009-12-6400-196	I
2025.07.18_23.08.37	-17.43258	14.667127	Yas	1009	12	701	4G	-78	-12	0.0	-	-67		START PING	I
2025.07.18_23.08.38	-17.43258	14.667127	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1009-12-6400-196:608-02-0--0-0-0	D
2025.07.18_23.08.40	-17.43258	14.667127	Yas	1009	3	701	4G	-77	-11	0.0	-	-65	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1009-3-1850-212	D
2025.07.18_23.08.43	-17.432553	14.667213	Yas	1009	3	701	4G	-84	-10	0.0	-	-73		START UPLOAD	D
2025.07.18_23.08.56	-17.432628	14.667278	Yas	1009	3	701	4G	-84	-12	0.0	-	-75		START DOWNLOAD	D
2025.07.18_23.09.00	-17.432608	14.667372	Yas	1025	3	701	4G	-88	-13	0.0	-	-79	CELL_RESELECTION_4G4G	608-02-701-1009-3-1850-212:608-02-701-1025-3-1850-103	I
2025.07.18_23.09.14	-17.432558	14.667453	Yas	1009	33	701	4G	-84	-11	0.0	-	-73	CELL_RESELECTION_4G4G	608-02-701-1025-3-1850-103:608-02-701-1009-33-3050-212	I
2025.07.18_23.09.38	-17.432517	14.667703	Yas	1009	33	701	4G	-91	-10	0.0	-	-81	CALL_START	608-02-701-1009-33 VOICE SEQUENCE:26	I
2025.07.18_23.09.40	-17.432517	14.667703	Yas	0	0	0	4G	-89	-8	0.0	-	-81	HANDOVER_VOICE_4G4G	608-02-701-1009-33-3050-212:608-02-0-0-0-0-0	VD
2025.07.18_23.09.46	-17.432517	14.667703	Yas	5	11542	43	2G	-93	-	-	-	-	IRAT_HANDOVER_VOICE_4G2G	608-02-0-0-0-0-0:608-02-43-5-11542-3060-346	V
2025.07.18_23.09.46	-17.432517	14.667703	Yas	5	11542	43	2G	-93	-	-	-	-	CSFB_4G2G	8095	V
2025.07.18_23.10.23	-17.43237	14.668052	Yas	5	11542	43	3G	-87	-14	-	-	-	CALL_END	608-02-43-5-11542 VOICE SEQUENCE:26	VD
2025.07.18_23.10.49	-17.432498	14.668177	Yas	5	11542	43	3G	-89	-13	-	-	-	CALL_END	608-02-43-5-11542	I
2025.07.18_23.10.51	-17.432498	14.668177	Yas	1009	3	701	4G	-82	-8	0.0	-	-75	IRAT_CELL_RESELECTION_2G4G	608-02-43-5-11542-3060-346:608-02-701-1009-3-1850-212	I
2025.07.18_23.10.56	-17.432498	14.668177	Yas	1009	3	701	4G	-85	-8	0.0	-	-75		START PING	D
2025.07.18_23.11.00	-17.432397	14.668138	Yas	1009	3	701	4G	-79	-10	0.0	-	-67		START UPLOAD	D
2025.07.18_23.11.13	-17.4323	14.6681	Yas	1009	3	701	4G	-93	-16	0.0	-	-73		START DOWNLOAD	D
2025.07.18_23.11.15	-17.4322	14.668087	Yas	1025	2	701	4G	-94	-14	0.0	-	-79	HANDOVER_DATA_4G4G	608-02-701-1009-3-1850-212:608-02-701-1025-2-1850-119	D
2025.07.18_23.11.29	-17.432105	14.668095	Yas	1025	13	701	4G	-82	-14	0.0	-	-67	CELL_RESELECTION_4G4G	608-02-701-1025-2-1850-119:608-02-701-1025-13-6400-79	I
2025.07.18_23.11.31	-17.432105	14.668095	Yas	1009	33	701	4G	-89	-7	0.0	-	-83	CELL_RESELECTION_4G4G	608-02-701-1025-13-6400-79:608-02-701-1009-33-3050-212	I
2025.07.18_23.11.36	-17.43201	14.668092	Yas	1009	3	701	4G	-86	-7	0.0	-	-77	CELL_RESELECTION_4G4G	608-02-701-1009-33-3050-212:608-02-701-1009-3-1850-212	I
2025.07.18_23.11.50	-17.431913	14.668077	Yas	1025	3	701	4G	-92	-11	0.0	-	-79	CELL_RESELECTION_4G4G	608-02-701-1009-3-1850-212:608-02-701-1025-3-1850-103	I
2025.07.18_23.11.55	-17.431913	14.668077	Yas	1025	3	701	4G	-86	-14	0.0	-	-71	CALL_START	608-02-701-1025-3 VOICE SEQUENCE:27	I
2025.07.18_23.12.02	-17.431818	14.668093	Yas	5	11542	43	3G	-81	-6	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1025-3-1850-103:608-02-43-5-11542-3060-346	V
2025.07.18_23.12.02	-17.431818	14.668093	Yas	5	11542	43	3G	-81	-6	-	-	-	CSFB_4G3G	7182	V
2025.07.18_23.12.40	-17.431643	14.668377	Yas	5	11542	43	3G	-73	-7	-	-	-	CALL_END	608-02-43-5-11542 VOICE SEQUENCE:27	V
2025.07.18_23.13.05	-17.43166	14.668467	Yas	5	11542	43	3G	-71	-6	-	-	-	CALL_END	608-02-43-5-11542	I
2025.07.18_23.13.07	-17.43166	14.668467	Yas	1025	13	701	4G	-80	-10	0.0	-	-71	IRAT_CELL_RESELECTION_3G4G	608-02-43-5-11542-3060-346:608-02-701-1025-13-6400-79	I
2025.07.18_23.13.09	-17.43166	14.668467	Yas	1009	33	701	4G	-91	-10	0.0	-	-83	HANDOVER_DATA_4G4G	608-02-701-1025-13-6400-79:608-02-701-1009-33-3050-212	D
2025.07.18_23.13.13	-17.43166	14.668467	Yas	1009	33	701	4G	-93	-8	0.0	-	-83		START PING	I
2025.07.18_23.13.17	-17.43166	14.668467	Yas	1009	33	701	4G	-94	-8	0.0	-	-85		START UPLOAD	D
2025.07.18_23.13.30	-17.43166	14.668467	Yas	1009	33	701	4G	-91	-9	0.0	-	-83		START DOWNLOAD	D
2025.07.18_23.14.13	-17.431325	14.668603	Yas	1009	33	701	4G	-100	-11	0.0	-	-83	CALL_START	608-02-701-1009-33 VOICE SEQUENCE:28	I
2025.07.18_23.14.15	-17.431325	14.668603	Yas	0	0	0	4G	-101	-12	0.0	-	-87	HANDOVER_VOICE_4G4G	608-02-701-1009-33-3050-212:608-02-0-0-0-0-0	VD
2025.07.18_23.14.21	-17.431247	14.668675	Yas	5	11542	43	2G	-91	-	-	-	-	IRAT_HANDOVER_VOICE_4G2G	608-02-0-0-0-0-0:608-02-43-5-11542-3060-346	V
2025.07.18_23.14.21	-17.431247	14.668675	Yas	5	11542	43	2G	-91	-	-	-	-	CSFB_4G2G	8279	V
2025.07.18_23.14.58	-17.431318	14.66874	Yas	5	11542	43	3G	-105	-9	-	-	-	CALL_END	608-02-43-5-11542 VOICE SEQUENCE:28	V
2025.07.18_23.15.24	-17.431318	14.66874	Yas	5	11542	43	3G	-103	-8	-	-	-	CALL_END	608-02-43-5-11542	I
2025.07.18_23.15.27	-17.431318	14.66874	Yas	0	0	0	2G	-113	-	-	-	-	HANDOVER_DATA_2G2G	608-02-43-5-11542-3060-346:608-02-0-0-0-0-0	D
2025.07.18_23.15.29	-17.431318	14.66874	Yas	1025	3	701	4G	-94	-8	0.0	-	-87	IRAT_HANDOVER_DATA_2G4G	608-02-0-0-0-0-0:608-02-701-1025-3-1850-103	D
2025.07.18_23.15.31	-17.431318	14.66874	Yas	1025	3	701	4G	-94	-8	0.0	-	-85		START PING	I
2025.07.18_23.15.35	-17.431318	14.66874	Yas	1025	3	701	4G	-93	-8	0.0	-	-85		START UPLOAD	D
2025.07.18_23.15.48	-17.431107	14.668682	Yas	1025	3	701	4G	-95	-7	0.0	-	-89		START DOWNLOAD	D
2025.07.18_23.16.19	-17.431035	14.668772	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_4G2G	608-02-701-1025-3-1850-103:608-02-0--0-0-0	I
2025.07.18_23.16.21	-17.431035	14.668772	Yas	1025	3	701	4G	-91	-7	0.0	-	-83	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1025-3-1850-103	I
2025.07.18_23.16.30	-17.431035	14.668772	Yas	1025	3	701	4G	-92	-9	0.0	-	-83	CALL_START	608-02-701-1025-3 VOICE SEQUENCE:29	I
2025.07.18_23.16.37	-17.430898	14.66904	Yas	5	11542	43	3G	-99	-6	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1025-3-1850-103:608-02-43-5-11542-3060-346	V
2025.07.18_23.16.37	-17.430898	14.66904	Yas	5	11542	43	3G	-99	-6	-	-	-	CSFB_4G3G	6888	V
2025.07.18_23.17.15	-17.430898	14.66904	Yas	5	11542	43	3G	-103	-7	-	-	-	CALL_END	608-02-43-5-11542 VOICE SEQUENCE:29	V
2025.07.18_23.17.41	-17.430898	14.66904	Yas	5	11542	43	3G	-95	-6	-	-	-	CALL_END	608-02-43-5-11542	I
2025.07.18_23.17.43	-17.430898	14.66904	Yas	1025	13	701	4G	-91	-12	0.0	-	-83	IRAT_CELL_RESELECTION_3G4G	608-02-43-5-11542-3060-346:608-02-701-1025-13-6400-79	I
2025.07.18_23.17.47	-17.430898	14.66904	Yas	1025	3	701	4G	-100	-9	0.0	-	-83	CELL_RESELECTION_4G4G	608-02-701-1025-13-6400-79:608-02-701-1025-3-1850-103	I
2025.07.18_23.17.48	-17.430898	14.66904	Yas	1025	3	701	4G	-100	-9	0.0	-	-91		START PING	D
2025.07.18_23.17.53	-17.430898	14.66904	Yas	1025	3	701	4G	-104	-9	0.0	-	-95		START UPLOAD	D
2025.07.18_23.18.06	-17.430898	14.66904	Yas	1025	3	701	4G	-97	-8	0.0	-	-87		START DOWNLOAD	D
2025.07.18_23.18.48	-17.430898	14.66904	Yas	1025	3	701	4G	-96	-10	0.0	-	-87	CALL_START	608-02-701-1025-3 VOICE SEQUENCE:30	I
2025.07.18_23.18.49	-17.430898	14.66904	Yas	0	0	0	4G	-96	-10	0.0	-	-87	HANDOVER_VOICE_4G4G	608-02-701-1025-3-1850-103:608-02-0-0-0-0-0	V
2025.07.18_23.18.51	-17.430898	14.66904	Yas	5	10257	43	2G	-83	-	-	-	-	IRAT_HANDOVER_VOICE_4G2G	608-02-0-0-0-0-0:608-02-43-5-10257-10563-2	VD
2025.07.18_23.18.51	-17.430898	14.66904	Yas	5	10257	43	2G	-83	-	-	-	-	CSFB_4G2G	2956	VD
2025.07.18_23.19.33	-17.430898	14.66904	Yas	5	10257	43	3G	-85	-7	-	-	-	CALL_END	608-02-43-5-10257 VOICE SEQUENCE:30	VD
2025.07.18_23.20.00	-17.430898	14.66904	Yas	5	10257	43	3G	-85	-7	-	-	-	CALL_END	608-02-43-5-10257	D
2025.07.18_23.20.06	-17.43109	14.668568	Yas	5	10257	43	3G	-85	-7	-	-	-		START PING	D
2025.07.18_23.20.07	-17.43109	14.668568	Yas		0	0	2G	-113	-	-	-	-	HANDOVER_DATA_2G2G	608-02-43-5-10257-10563-2:608-02-0--0-0-0	D
2025.07.18_23.20.08	-17.43109	14.668568	Yas	1025	11	701	4G	-74	-10	0.0	-	-81	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1025-11-6400-87	D
2025.07.18_23.20.10	-17.43109	14.668568	Yas	1025	1	701	4G	-86	-7	0.0	-	-81	HANDOVER_DATA_4G4G	608-02-701-1025-11-6400-87:608-02-701-1025-1-1850-111	D
2025.07.18_23.20.11	-17.431005	14.668615	Yas	1025	1	701	4G	-86	-7	0.0	-	-81		START UPLOAD	D
2025.07.18_23.20.24	-17.431005	14.668615	Yas	1025	1	701	4G	-87	-7	0.0	-	-81		START DOWNLOAD	D
2025.07.18_23.20.42	-17.43081	14.668603	Yas	1009	32	701	4G	-100	-11	0.0	-	-91	CELL_RESELECTION_4G4G	608-02-701-1025-1-1850-111:608-02-701-1009-32-3050-196	I
2025.07.18_23.20.48	-17.430713	14.668597	Yas	1025	1	701	4G	-76	-8	0.0	-	-69	CELL_RESELECTION_4G4G	608-02-701-1009-32-3050-196:608-02-701-1025-1-1850-111	I
2025.07.18_23.20.53	-17.430627	14.668632	Yas	1009	33	701	4G	-74	-15	0.0	-	-59	CELL_RESELECTION_4G4G	608-02-701-1025-1-1850-111:608-02-701-1009-33-3050-212	I
2025.07.18_23.21.03	-17.430525	14.668638	Yas	1009	3	701	4G	-77	-14	0.0	-	-63	CELL_RESELECTION_4G4G	608-02-701-1009-33-3050-212:608-02-701-1009-3-1850-212	I
2025.07.18_23.21.06	-17.430525	14.668638	Yas	1009	3	701	4G	-77	-9	0.0	-	-69	CALL_START	608-02-701-1009-3 VOICE SEQUENCE:31	I
2025.07.18_23.21.07	-17.430525	14.668638	Yas	0	0	0	4G	-77	-9	0.0	-	-69	HANDOVER_VOICE_4G4G	608-02-701-1009-3-1850-212:608-02-0-0-0-0-0	VD
2025.07.18_23.21.51	-17.430077	14.66873	Yas		0	0	2G	-113	-	-	-	-	CALL_END	608-02-0--0 VOICE SEQUENCE:31	V
2025.07.18_23.22.17	-17.430077	14.66873	Yas		0	0	2G	-113	-	-	-	-	CALL_END	608-02-0--0	D
2025.07.18_23.22.24	-17.429985	14.66871	Yas		0	0	2G	-113	-	-	-	-		START PING	I
2025.07.18_23.22.25	-17.429985	14.66871	Yas	5	10096	43	3G	-77	-6	-	-	-	IRAT_CELL_RESELECTION_4G3G	608-02-0-0-0-0-0:608-02-43-5-10096-10838-290	D
2025.07.18_23.22.26	-17.429985	14.66871	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_3G2G	608-02-43-5-10096-10838-290:608-02-0--0-0-0	D
2025.07.18_23.22.28	-17.429892	14.668717	Yas	1025	1	701	4G	-83	-7	0.0	-	-73	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1025-1-1850-111	D
2025.07.18_23.22.29	-17.429892	14.668717	Yas	1025	1	701	4G	-83	-7	0.0	-	-75		START UPLOAD	D
2025.07.18_23.22.42	-17.4298	14.668685	Yas	1025	1	701	4G	-82	-9	0.0	-	-75		START DOWNLOAD	D
2025.07.18_23.23.08	-17.429513	14.66872	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_4G2G	608-02-701-1025-1-1850-111:608-02-0--0-0-0	I
2025.07.18_23.23.10	-17.429513	14.66872	Yas	1025	1	701	4G	-82	-7	0.0	-	-75	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1025-1-1850-111	D
