Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.37.53	-17.439243	14.661588	Yas	1630	11	701	4G	-74	-7	0.0	-	-63	CALL_START	608-02-701-1630-11 VOICE SEQUENCE:12	I
2025.07.18_22.37.55	-17.439243	14.661588	Yas	0	0	0	3G	-113	-3	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1630-11-6400-411:608-02-0-0-0-0-0	V
2025.07.18_22.37.55	-17.439243	14.661588	Yas	0	0	0	3G	-113	-3	-	-	-	CSFB_4G3G	2995	V
2025.07.18_22.37.59	-17.439243	14.661588	Yas	5	16302	43	2G	-59	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-16302-3060-227	V
2025.07.18_22.38.38	-17.439587	14.661912	Yas	5	16302	43	3G	-67	-9	-	-	-	CALL_END	608-02-43-5-16302 VOICE SEQUENCE:12	V
2025.07.18_22.39.03	-17.439587	14.661912	Yas	5	16302	43	3G	-59	-4	-	-	-	CALL_END	608-02-43-5-16302	I
2025.07.18_22.39.05	-17.439587	14.661912	Yas		0	0	2G	-113	-	-	-	-	CELL_RESELECTION_2G2G	608-02-43-5-16302-3060-227:608-02-0--0-0-0	I
2025.07.18_22.39.07	-17.439587	14.661912	Yas	1630	11	701	4G	-71	-8	0.0	-	-63	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1630-11-6400-411	I
2025.07.18_22.39.11	-17.439587	14.661912	Yas	1630	11	701	4G	-71	-8	0.0	-	-63		START PING	I
2025.07.18_22.39.11	-17.439587	14.661912	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_4G2G	608-02-701-1630-11-6400-411:608-02-0--0-0-0	I
2025.07.18_22.39.13	-17.439587	14.661912	Yas	1630	11	701	4G	-74	-8	0.0	-	-65	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1630-11-6400-411	D
2025.07.18_22.39.15	-17.439587	14.661912	Yas	1630	11	701	4G	-73	-8	0.0	-	-65		START UPLOAD	D
2025.07.18_22.39.19	-17.439587	14.661912	Yas	1032	12	701	4G	-70	-7	0.0	-	-61	CELL_RESELECTION_4G4G	608-02-701-1630-11-6400-411:608-02-701-1032-12-6400-458	I
2025.07.18_22.39.28	-17.439622	14.661998	Yas	1032	12	701	4G	-77	-10	0.0	-	-67		START DOWNLOAD	D
2025.07.18_22.39.29	-17.439622	14.661998	Yas	1630	11	701	4G	-75	-8	0.0	-	-67	HANDOVER_DATA_4G4G	608-02-701-1032-12-6400-458:608-02-701-1630-11-6400-411	I
2025.07.18_22.39.39	-17.439622	14.661998	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1630-11-6400-411:608-02-0--0-0-0	D
2025.07.18_22.39.41	-17.439675	14.662078	Yas	1630	11	701	4G	-74	-8	0.0	-	-59	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1630-11-6400-411	I
2025.07.18_22.39.59	-17.439713	14.662167	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_4G2G	608-02-701-1630-11-6400-411:608-02-0--0-0-0	I
2025.07.18_22.40.01	-17.439713	14.662167	Yas	1630	11	701	4G	-78	-11	0.0	-	-67	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1630-11-6400-411	I
